# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
20,Pre-Flop,1,-400,400,CALL,0,"['9d', '2d']","['4s', '8h']","['Ad', '7s']",,6s,2,2
20,Flop,0,-400,400,CHECK,0,"['9d', '2d']","['4s', '8h']","['Ad', '7s', '6h']",,6s,100,100
20,Flop,1,-400,400,CHECK,0,"['9d', '2d']","['4s', '8h']","['Ad', '7s', '6h']",,6s,100,100
20,Turn,0,-400,400,CHECK,0,"['9d', '2d']","['4s', '8h']","['Ad', '7s', '6h', '8d']",,6s,100,100
20,Turn,1,-400,400,CHECK,0,"['9d', '2d']","['4s', '8h']","['Ad', '7s', '6h', '8d']",,6s,100,100
20,River,0,-400,400,CHECK,0,"['9d', '2d']","['4s', '8h']","['Ad', '7s', '6h', '8d', '9s']",,6s,100,100
20,River,1,-400,400,CHECK,0,"['9d', '2d']","['4s', '8h']","['Ad', '7s', '6h', '8d', '9s']",,6s,100,100
21,Pre-Flop,1,-400,400,DISCARD,0,"['6s', '4h']","['7s', '2d']","['Ah', '4d']",,,1,1
21,Pre-Flop,1,-400,400,CALL,0,"['6s', '4h']","['6h', '2d']","['Ah', '4d']",,7s,1,1
21,Pre-Flop,0,-400,400,RAISE,98,"['6s', '4h']","['6h', '2d']","['Ah', '4d']",,7s,2,2
21,Pre-Flop,1,-400,400,CALL,0,"['6s', '4h']","['6h', '2d']","['Ah', '4d']",,7s,2,2
21,Flop,1,-400,400,CHECK,0,"['6s', '4h']","['6h', '2d']","['Ah', '4d', '3d']",,7s,100,100
21,Flop,0,-400,400,CHECK,0,"['6s', '4h']","['6h', '2d']","['Ah', '4d', '3d']",,7s,100,100
21,Turn,1,-400,400,CHECK,0,"['6s', '4h']","['6h', '2d']","['Ah', '4d', '3d', '5d']",,7s,100,100
21,Turn,0,-400,400,CHECK,0,"['6s', '4h']","['6h', '2d']","['Ah', '4d', '3d', '5d']",,7s,100,100
21,River,1,-400,400,CHECK,0,"['6s', '4h']","['6h', '2d']","['Ah', '4d', '3d', '5d', '4s']",,7s,100,100
21,River,0,-400,400,CHECK,0,"['6s', '4h']","['6h', '2d']","['Ah', '4d', '3d', '5d', '4s']",,7s,100,100
22,Pre-Flop,0,-500,500,RAISE,98,"['3s', '7h']","['9d', '9s']","['2d', '5h']",,,1,1
22,Pre-Flop,1,-500,500,DISCARD,0,"['3s', '7h']","['9d', '9s']","['2d', '5h']",,,2,2
22,Pre-Flop,1,-500,500,CALL,0,"['3s', '7h']","['9d', '3d']","['2d', '5h']",,9s,2,2
22,Flop,0,-500,500,CHECK,0,"['3s', '7h']","['9d', '3d']","['2d', '5h', '7s']",,9s,100,100
22,Flop,1,-500,500,CHECK,0,"['3s', '7h']","['9d', '3d']","['2d', '5h', '7s']",,9s,100,100
22,Turn,0,-500,500,CHECK,0,"['3s', '7h']","['9d', '3d']","['2d', '5h', '7s', '8s']",,9s,100,100
